[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/addAlbum.do] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/delAlbum.do] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/findAlbumList.do] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/goAlbumAdd] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/goAlbumAdd.*] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/goAlbumAdd/] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/goAlbumEdit] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/goAlbumEdit.*] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/goAlbumEdit/] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/album/updateAlbum.do] onto handler 'albumController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/findAlbumPicByPage.do] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/delByIds.do] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/updateAlbumPic.do] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/goAlbumPicEdit] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/goAlbumPicEdit.*] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/goAlbumPicEdit/] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/delAlbumPic.do] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/goAlbumPicAdd] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/goAlbumPicAdd.*] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/goAlbumPicAdd/] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/albumPic/addAlbumPic.do] onto handler 'albumPicController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/findBannerView] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/findBannerView.*] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/findBannerView/] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/del] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/del.*] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/del/] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/delByIds.do] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/goEdit.do] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/add] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/add.*] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/add/] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/delete.do] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/goAdd.do] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/update] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/update.*] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/update/] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/find] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/find.*] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/banner/find/] onto handler 'bannerController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/clearCache] onto handler 'clearController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/clearCache.*] onto handler 'clearController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/clearCache/] onto handler 'clearController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/add] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/add.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/add/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/find] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/find.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/find/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/findCompApplyView] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/findCompApplyView.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/findCompApplyView/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/update] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/update.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/update/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/delete.do] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/del] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/del.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/del/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/delByIds.do] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/goEdit] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/goEdit.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/goEdit/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/goAdd.do] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/audit] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/audit.*] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/apply/audit/] onto handler 'competitionApplyController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/delete.do] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/findCompetitionView] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/findCompetitionView.*] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/findCompetitionView/] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/add] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/add.*] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/add/] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/find] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/find.*] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/find/] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/update] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/update.*] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/update/] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/del] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/del.*] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/del/] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/delByIds.do] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/goEdit.do] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/goAdd.do] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/audit] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/audit.*] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/audit/] onto handler 'competitionController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/list] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/list.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/list/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/delete] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/delete.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/delete/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addPlayerDatas] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addPlayerDatas.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/addPlayerDatas/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/update] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/update.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/update/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/savePlayerDatas] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/savePlayerDatas.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/savePlayerDatas/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/del] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/del.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/del/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/find] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/find.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/find/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/save] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/save.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/save/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/delByIds] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/delByIds.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/delByIds/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/edit] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/edit.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/edit/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectComp] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectComp.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectComp/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/createMatch] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/createMatch.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/createMatch/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectRound] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectRound.*] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/selectRound/] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/saveHotDatas] onto handler 'competitionMatchController'
[INFO ][2016-03-30 10:35:59,904] - Mapped URL path [/competition/match/saveHotDatas.*] onto handler 'competitionMatchController'
